index_in_dataset,metric,depth,width,num_iter,skip_n11,mic_obj_group,microscope_type,object,index_in_tiff,Component 1,Component 2
9227,l1_gt,4,asc_to512,2800,0,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9227,lpips_gt,4,64,2900,0,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9227,lpips_gt_rank,7,64,100,0,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9227,lpips_psnr_gt,4,64,2800,0,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9227,mse_gt,4,asc_to512,2800,0,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9227,psnr_gt,4,asc_to512,2800,0,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9227,psnr_gt_rank,8,512,100,4,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9227,ssim_gt,6,256,1400,4,actin_confocal,confocal,actin,26,-1.1392314434051514,-3.2929306030273438
9418,l1_gt,4,64,800,4,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9418,lpips_gt,6,256,1300,4,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9418,lpips_gt_rank,4,512,100,0,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9418,lpips_psnr_gt,6,256,1200,4,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9418,mse_gt,5,128,700,4,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9418,psnr_gt,5,128,700,4,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9418,psnr_gt_rank,8,512,100,0,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9418,ssim_gt,4,64,800,4,actin_confocal,confocal,actin,27,-1.6521025896072388,-1.9330570697784424
9449,l1_gt,4,128,700,4,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9449,lpips_gt,7,512,2200,4,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9449,lpips_gt_rank,4,256,100,0,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9449,lpips_psnr_gt,4,128,700,4,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9449,mse_gt,4,128,700,4,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9449,psnr_gt,4,128,700,4,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9449,psnr_gt_rank,8,asc_to512,100,4,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9449,ssim_gt,4,64,2800,0,actin_confocal,confocal,actin,28,-0.1898580640554428,-5.908575057983398
9484,l1_gt,5,128,1400,4,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
9484,lpips_gt,7,512,1900,4,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
9484,lpips_gt_rank,4,128,100,0,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
9484,lpips_psnr_gt,5,128,1400,4,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
9484,mse_gt,5,128,1400,4,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
9484,psnr_gt,5,128,1400,4,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
9484,psnr_gt_rank,8,asc_to512,100,4,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
9484,ssim_gt,5,128,1400,4,actin_confocal,confocal,actin,29,-0.17610564827919006,-5.918085098266602
10317,l1_gt,4,128,1500,4,mito_confocal,confocal,mito,30,-0.7116400003433228,-0.3148127794265747
10317,lpips_gt,4,128,1500,4,mito_confocal,confocal,mito,30,-0.7116400003433228,-0.3148127794265747
